Name,fideID
"Niemann, Hans Moke",2093596
"Oberoi, Shelev",30908590
"Popilski, Gil",2809060
"Gorovets, Andrey",13504037
"Balakrishnan, Praveen",2064871
"Miyasaka, Marcus M",2073102
"Subervi, Jonathan",6400345
"Wang, Eigen",2008777
"Slade, Theodore",426547
"Xu, Arthur Zihan",30913144
"Boris, Peter Theodore",30908094
"Erenburg, Sergey",2805642
"Lenderman, Aleksandr",2021285
"Perske, Thore",12902195
"Dukic, Zachary",2617188
"Graif, William",2609835
"Bartochowski, Nicholas J",2093049
"Vorontsov, Pavlo",14116367
"Ewing, Gabriel",2061880
"Puranik, Abhimanyu Sameer",5061245
"Chen, Forest",30908205
"Lux, Hugo de Melo",2138298
"Raja, Harshit",5089000
"Titus, Andrew L",2059770
"Huschenbeth, Niclas",24604747
"Ortiz Suarez, Isan Reynaldo",3507165
"Shabalov, Alexander",2008572
"Stukopin, Andrey",24107131
"Sevian, Samuel",2040506
"Wang, Annie",2053900
"Adamson, Robby",2009730
"Jacobson, Aaron",2089912
"Wang, Wesley",2072823
"Martin Del Campo C, Roberto",5100046
"Diulger, Alexey",13900730
"Arjun, Vishnuvardhan",5013291
"Gauri, Shankar",5041350
"Yu, Jennifer R",2078341
"Shtembuliak, Evgeny",14113325
"Kevlishvili, Robby",1040634
"Gurevich, Dmitry",2000407
"Kiewra, Keaton F",2019280
"Bivol, Alina",4100123
"Ali Marandi, Cemil Can",6300529
"Boros, Denes",722340
"Patel, Advait",2075105
"Ozturk, Efe Hakan",34550216
"Martins, Bruno Andre Leite",1942255
"Tanriverdi, Enes",34543279
"Yakubboev, Nodirbek",14203987
"Badelka, Olga",13509926
"Baidetsky, Valentin",14142317
"Pour Agha Bala, Amirreza",12572896
"Barseghyan, Armen Ar",13306707
"Csiki, Endre",775126
"Rajesh, CS.",5025184
"Sinha, Sahil",2065231
"Durarbayli, Vasif",13402935
"Vigorito, David",2007002
"Sandler, Leonid",3201805
"Burke, John M",2070901
"Wang, Qibiao",8604282
"Stearman, Josiah P",2062496
"Wu, Rochelle",30908132
"Shlyakhtenko, Robert",30936934
"Costello, Alexander",2099659
"Ke, Ivan",30914477
"Hong, Andrew Z",2099438
"Wang, Justin",30911370
"Barretto, Franz",5216346
"Plotkin, Victor",2606674
"Nyzhnyk, Illya",14118084
"Peredun, Andrew",2603322
"Husbands, Orlando",11101644
"Li, Ben",2089980
"Bryant, John Daniel",2031280
"Liang, Jason",30940303
"Banerjee, Abhimanyu",2076047
"Zhou, Aiden",2618826
"Boekhoff, Andrew",2024292
"Mujumdar, Sameer Suhas",2029707
"Kretchetov, Alexandre",4124588
"Narayanan, Samrug",30914051
"Jacobson, Brandon",30901561
"Hilby, Craig",2062674
"Liang, Awonder",2056437
"Sheng, Joshua",2057360
"Vaidya, Atulya",2047713
"Checa, Nicolas D",2069342
"Green, Austen",2017865
"Melkumyan, Hrant",13302485
"Guo, Arthur",30903114
"Quesada Perez, Yasser",3509362
"Macieja, Bartlomiej",1104306
"Karthik, Sai Ch",46649484
"Raahul, VS.",25035525
"Stork, Oliver",12955728
"Raja, Rithvik R",35007394
"Pogosyan, Stefan",34159867
"Turgut, Aydin",2078791
"Makarian, Rudik",44105681
"Soto, Miguel Angel",4427467
"Aronyak, Ghosh",25072846
"Daghli, Arash",12572381
"Cardoso Cardoso, Jose Gabriel",4430492
"Khamrakulov, Djurabek",14201143
"Yudasin, Leonid",2802341
"Barbosa, Oliver",5201640
"Panjwani, Raja",2604493
"Korley, Kassa",2033801
"Krush, Irina",2012782
"Steingrimsson, Hedinn",2300117
"Sturt, Raven M",2007304
"Paragua, Mark",5201241
"Krishnakumar, Sriram",30915856
"Vijay, Keerthi K",5014450
"Chen, Alex",30929652
"Arias, Mario",3800660
"Lehmann, Spencer G",2069261
"Zhao, Ian",2620740
"Aoshima, Mirai",7002386
"Liu, Bovey",2061112
"Peng, Shunkai",8614601
"Wang, Kevin A",2008424
"Perunovic, Milos",921629
"Kaliksteyn, Alexander",2007630
"Yoo, Christopher Woojin",30909694
"Colas, Joshua",2044447
"Daggupati, Balaji",2090759
"Stremavicius, Titas",12804444
"Ostrovskiy, Aleksandr A",2034239
"Mista, Aleksander",1110381
"Mishra, Abhimanyu",30920019
"Dragun, Kamil",1134167
"Chen, Ryo",7003072
"Proleiko, Julian",30900255
"Lu, Ming",30930880
"Antova, Gabriela",2915235
"Tsay, Vincent",30931835
"Posthuma, Joshua G",2096889
"Kanov, Nikola",2928531
"Dalaud, Dorian",36093270
"Santos Ruiz, Miguel",22291482
"Souhardo, Basak",35092910
"Carbonell Sancho, Marc",32029969
"Cornette, Matthieu",620084
"Moussard, Jules",642908
"Cheparinov, Ivan",2905540
"Maze, Sebastien",613762
"Fier, Alexandr",2107139
"Persico, Lorenzo",899240
"Mitran, Anthony Cristian",240052
"Bernadskiy, Vitaliy",14100371
"Dardha, Daniel",240990
"Samoun, Florent",664995
"Orfini, Nicolo",2805028
"Loiacono, Antonio",895415
"Basso, Pier Luigi",866970
"Moroni, Luca Jr",865834
"Krivenko, Dion",4508378
"Dobrikov, Marco",12950378
"Bellahcene, Bilel",696358
"Bjerre, Jonas Buhl",1444948
"Warmerdam, Max",1048104
"Vetokhin, Savva",44144474
"Atalik, Suat",14401487
"Dudin, Gleb",34184934
"Ratkovic, Milovan",914525
"Durak, Can",44552971
"Potpara, Nikola",910058
"Stankovic, Milos",938190
"Abramovic, Bosko",900206
"Kosic, Dragan",900290
"Shahil, Dey",35062352
"Injac, Teodora",932400
"Mijatovic, Dusan",966738
"Doshi, Moksh Amitbhai",25064967
"Milosevic, Milos",964875
"Lajthajm, Borko",916358
"Czebe, Attila",705268
"Bryakin, Mikhail",4165314
"Sedlak, Nikola",922900
"Haldorsen, Benjamin",1512633
"Kaasen, Tor Fredrik",1516647
"Nikitenko, Mihail",13506862
"Yankelevich, Lev",24684074
"Mohammad, Nubairshah Shaikh",5053196
"Pranav, Anand",46626786
"Thybo, Jesper Sondergaard",1438832
"Utegaliev, Azamat",13702467
"Travadon, Loic",26092131
"Rakotomaharo, Fy Antenaina",13100050
"Kotronias, Vasilios",5900212
"Cassi, Elisa",2817220
"Cacinschi, Alexandru",829420
"Solomon, Kenny",14300192
"Baenziger, Fabian",1330110
"Sebenik, Matej",14602296
"Subelj, Jan",14618583
"Sonis, Francesco",895733
"Martin Duque, Jesus",2208954
"Shetty, Atulya",2031213
